Goal,Specific,Measurable,Action-oriented,Relevant,Time-bound
Here is a for everyone learn how to spell my name correctly grumpyhuman,,,,1,
My is to not make a,,,,1,
dinalohan my is to meet lindsaylohan help,,,,1,
Going into single and broke Thats gotta change lol,,,,1,
My is to stop working out as much,,,,1,
My New Years resolution is that in twelve months Ill be one day into a workout routine dedicated NYE,,,,1,
This New Years my resolution is to stop letting the German unicorn who lives behind my eyeballs act so crazy,,,,1,
When I have time I love to paint This new year I want to paint more newyearsresolution,,,,1,
SandalsResorts to book more Sandals trips Love Sandals,,,,1,
Get more than gb of free space on my iPhone,,,,1,
This year I resolve not to be sexually attracted to desk lamps Oh who am I kidding I can never keep these resolutions,,,,1,
Remember to write instead of,,,,1,
be a better me and show everyone what I love to do,,,,1,
Take a walk everyday or at least briefly consider it,,,,1,
Dont spend too much time wearing pants,,,,1,
My is to change my attitude towards everything No more complaints or quitting just step up shut up and work hard,,,,1,
A healthful committing to sleeping well And you may want to rethink what that means,,,,1,
is to get my bitch face under control so people like me,,,,1,
Volunteer wa SouthAfrica animalsanctuary selfpublish to beat ELJames in the game of erotica Whats yours,,,,1,
Continue to tell people Im wearing no makeup nomakeup foolsomeofthepeoplesomeofthetime lotsofmakeup donteven,,,,1,
Finish a Chapstick before losing it,,,,1,
My New Years Resolutions re teaching running dancing like a badass NYE Goals,,,,1,
take down my Christmas tree before March,,,,1,
number three would be to travel more starting with return trips to New Orleans and Florida,,,,1,
Add more fun inspiration glamour mystery strength to my lifes playlist,,,,1,
newyearsresolution x same as last year,,,,1,
To further myself into making music and to meet my love LanaDelRey,,,,1,
New Years Resolution be absolutely perfect All the time And maybe acquire another cat NYE MoreCats CatLyfe,,,,1,
Spend less time wearing pants ready,,,,1,
not to do what I did in,,,,1,
I will continue to seek knowledge share wisdom,,,,1,
I will continue to give peace be open to love,,,,1,
More wine less beer More books less Pinterest More outdoors less of my apartment keepingitsimple cantfail,,,,1,
My is to actually use all of the deals on my ChickfilA calendar card this year realisticresolutions,,,,1,
Im using to focus on doing things outside my comfort zone,,,,1,
I never want to stop creating Thats a lifelong goal lifelongresolution,,,,1,
No more for this bad boy,,,,1,
FCgoodnews To be smarter about finances and lose pounds CAN IT BE DONE,,,,1,
smoke more give less fucks,,,,1,
bop Luke Hemmingss nose,,,,1,
hold hands with Michael Clifford,,,,1,
kiss Calum Hoods cheek,,,,1,
continue to avoid watching the BigBangCBS and anything having to do with CuocoSweeting,,,,1,
Wear more eyeliner RT DrRubidium Kick more ass Take more names,,,,1,
New Years Resolution To not be able to remember anything from tonight NewYearsEve smashed,,,,1,
Starting tomorrow the do nothing part of break is over and I start hardcore studying for the LSAT FeelingTerrified,,,,1,
Let Bourdain know that he is a fuck boi,,,,1,
get even more fucked up than I did in,,,,1,
Stop allowing lukewarm showers to anger me into oblivion,,,,1,
Doing dishes listening to LOTR,,,,1,
You see its leaders and theres followers But Id rather be a dick than a swallower HappyNewYear kaynewest,,,,1,
im not eating a single fortune cookie until,,,,1,
block all those on social media that post articles about how to or not to parent,,,,1,
not to kill myself or anyone around me,,,,1,
YouTube my goal for the year was subscribers Im at lets make this goal a reality,,,,1,
Everything I do this year will have purpose if it dont benefit me I aint wit it is my turn to be selfish NewY,,,,1,
Dolphinsglow yes u can Have faith I quit a year ago You can do this Good luck need a little advice let me know,,,,1,
Im a little early butI plan to not give a flying fvck about what other people say and just be ME That would be,,,,1,
Enter a glitz pageant and WIN mississippi,,,,1,
My for is to slap the shit out of anyone that brings up Back To The Future,,,,1,
tvtag I need to catch up on episodes of JaneTheVirgin before it comes back next month,,,,1,
Marry rich,,,,1,
My New Years resolution is to not be an asshole anymore Or any less,,,,1,
Kick more ass Take more names,,,,1,
No more false resolutions that will be broken by February WordsToLiveBy,,,,1,
More red meat in,,,,1,
Unrealistic is to run every day,,,,1,
My is to get starbswiththegirls with JessiTomlinson itsashleymorgan,,,,1,
finish my community service,,,,1,
for LumeneUS My resolution spending less tie on tech more people time face to face,,,,1,
will be the year I bite off more than I can chew and then chew it HappyNewYear Unstoppable BringOn,,,,1,
burn through a whole candle for Petes sake,,,,1,
Your want to should never be bigger than your will to newyearsresolution newyears,,,,1,
I swore in not to eat ANY more deep fried food for,,,,1,
is to keep trying to make positive impressions on people and be the best person I can be,,,,1,
I just want summer and more tattoos,,,,1,
Thats a resolution I can get behind RT DrRubidium Drink more milk,,,,1,
For my Ive decided to try to be nicer to AlmostShawn And Im going to stalk imcorinnemec a little less Maybe,,,,1,
for fiber fanatics like us Think theyll mind at work too LOL Happy New Year,,,,1,
I want to create more memories in than the year before,,,,1,
Have a safe and happy NewYearsEve,,,,1,
My is the same every year to NOT make any New Years resolutions And I always keep it,,,,1,
itsmarshallw start wearing pants to check mail Oh,,,,1,
My goal newyearsresolution,,,,1,
To regain confidence in myself,,,,1,
to meet One Direction and to get in shape,,,,1,
get my blue belt drink lots of beer and paint lots of sneakers,,,,1,
Get phat,,,,1,
my is p,,,,1,
get a follow from these dudes MichaelSOS LukeSOS AshtonSOS CalumSOS bc idk it would be nice and cool thx,,,,1,
Stay high Love life,,,,1,
Learn how to friggin park cuz after months of driving I still suck at it,,,,1,
my is eat my bananas before they go brown,,,,1,
Which is why my New Years resolution is to become a better athlete all around for both me and my horse lt,,,,1,
hit the gym harder than I did last year StriveForGreatness,,,,1,
What is your New Years resolution Mine is to read at least one new book per month NewYearsEve NYE,,,,1,
Never wear sunglasses in the gym,,,,1,
resolution be a sarcastic asshole on Twitter Check NewYearsEve NewYear fuckyallimgoinghome,,,,1,
I have one for I resolve to win the lottery Not just a dollar or two either Big jackpot dreamofphilanthropy,,,,1,
Happy New Year How about a for the planet I support WWF with a daily tweet,,,,1,
Happy New Year How about a for the planet I support WWF with a daily tweet,,,,1,
post more bathroom selfies,,,,1,
My is whatever it was last year but this time I REALLY MEAN IT,,,,1,
Happy New Year How about a for the planet I support WWF with a daily tweet,,,,1,
Be less gullible,,,,1,
Happy New Year How about a for the planet I support WWF with a daily tweet,,,,1,
Happy New Year How about a for the planet I support WWF with a daily tweet,,,,1,
Im going to gain pounds,,,,1,
My to sharpen my mind,,,,1,
Or to practice yoga every dang day champagneyogi,,,,1,
act like ive been there before,,,,1,
Goal I will spend more time with my friends and family NewYearsEve,,,,1,
Happy New Year How about a for the planet I support WWF with a daily tweet,,,,1,
make the same mistakes and learn the same lessons I did in,,,,1,
Happy New Year How about a for the planet I support WWF with a daily tweet,,,,1,
his New Year I want to be closer to God and take other people with me,,,,1,
stop making numbered lists,,,,1,
My only for is not to fall for the same crap I did in or liveandlearn NewYearsEve,,,,1,
Leighannadam more youthful experiments LOL No seriously,,,,1,
Happy New Year How about a for the planet I support WWF with a daily tweet,,,,1,
Set ambitious realistic goals and dont be afraid of failure If you fail learn the lesson and keep moving forward,,,,1,
Going to lose lb and get toned with Siothehunter along with crocheting doilies so the beautiful art wont die out,,,,1,
My is to eat more nachos Ive been neglecting them,,,,1,
My To continue being awesome,,,,1,
Happy New Year How about a for the planet I support WWF with a daily tweet,,,,1,
Finish book two by March work on book three not jump off a bridge amwritingfantasy steampunk,,,,1,
Happy New Year How about a for the planet I support WWF with a daily tweet,,,,1,
I was challenged to read a book a week by PastorCLW at the start of Finished yesterday,,,,1,
I would like to eat pound of redmeat per day bestolutions manolutions,,,,1,
Ill resolve what I always resolve To be less of an idiot ResolutionsFor,,,,1,
No more single use disposable plastics for me ZeroWaste NewYearsEve Image PostLandfill,,,,1,
I am going to talk to more White people about our racism,,,,1,
Cinemax Be more badass ivanamilicevic best show on TV,,,,1,
Learned of the bad news tonight CaraMiller is that you heal quickly,,,,1,
Accept all chances to grow and evolve as an individual while also finding peace and acceptance when faced with change,,,,1,
to eat more to eat all that I can Also to draw more Maybe make that comic Oh also do good in school,,,,1,
Stop stalking Val Kilmer,,,,1,
Also this year Im determined to try sushi for the first time I hear its made of raw fish yuck,,,,1,
refer to Canada as beyond the wall,,,,1,
I just dealt with gt emails Only more to go Sigh InboxZero YeahRight,,,,1,
is to maintain my friendships with my wonderful friends osnapitzlyndsey Johnnyboyyy AmandaDymek mymomsagingr,,,,1,
New year new me imma start putting on more makeupweird resolution,,,,1,
New Years Resolution make it happen Oh and try to get in the next Star Wars somehow StarWars badrobot,,,,1,
If my life music could just be the soundtrack from the Oceans movies that would be awesome,,,,1,
eat more jelly beans,,,,1,
Going to continue being an asshole,,,,1,
More tattoos,,,,1,
Today is a sad day today is the last day I will be smoking weed,,,,1,
try not to blame everything bad in the world on yoko ono,,,,1,
MarkPacker My New Years Resolution starts earlyuse the mute button anytime Jesse Palmer is doing a game,,,,1,
be nicer to americans who say mum,,,,1,
Jaclynhill were opposites this year My is to wear more warm tones All I do is silver its time for me to warm it up,,,,1,
This year I will date more kiss more be smarter and choose wiser,,,,1,
stop eating so much,,,,1,
I will not pay any taxes until AlSharpton pays his tax debt plus interest and penalties,,,,1,
since get fit,,,,1,
I would like to be more straightforward this year please,,,,1,
I resolve to avoid making fun of the sloppy New Years kisses between drunk people who just met,,,,1,
To not poop on the floor until at least April ChuckCJohnson CharlesCJohnson ChuckCJohnsonPoopedOnTheFloor,,,,1,
sblackmoore Fewer semen oaths,,,,1,
ChuckWendig sblackmoore About the same amount of mucus oaths,,,,1,
New Years Eve is the perfect time to block those pesky relatives on Facebook that youve shown restraint to in,,,,1,
My is to get back to writing every day Thanks for the inspiration kellysue BRIANMBENDIS samhumphries mattfraction,,,,1,
THE STRUGGLE IS FAKE The only thing holding you back is YOU Give yourself the power Make your bitch,,,,1,
I start fresh every morning Never needed a year,,,,1,
Amen RT coreywoodstempe I need to go suit shopping with AnthonyHotels That guys suit game is no joke realtalk,,,,1,
My nd is to dig deeper and focus on pursuing my dream of being a music artist s PitbullNYE,,,,1,
My goal for the next year Become a power ranger and save the world,,,,1,
KymKral I decided my is to do mouthypants in the new year Think Id be a good fit for it,,,,1,
Bought my wife a tablet yesterday Now I want one One goal for Buy a new tablet,,,,1,
To rid myself of all chill that I have,,,,1,
One of my is to make more friends at other schools specifically LBJ,,,,1,
My is to stop pocketing lighters Well at least pocket less lighters stonerproblems,,,,1,
not getting mad easily,,,,1,
PitbullNYE being the greatest FATHER and becoming the next MR worldwide GodSt,,,,1,
saving my money,,,,1,
My is to become a British pop singer One Direction made me realize that would make my life about times easier,,,,1,
to enact more with my Wilson fandom family But sometimes easier said then done But well see in,,,,1,
try to keep the best music in my playlist,,,,1,
My is to stop being an asshole Theres so much negativity on the internet theres no need for me to add m,,,,1,
My is to defriend anyone on Facebook who invites me to play Candy Crush,,,,1,
For my is DSED DoSomethingEveryDay athletic sporty doesnt have to be big Just Something Join me,,,,1,
I resolve to have a baby this year weeks thatsapromise take it to the,,,,1,
If at first you dont succeed drink a lot of wine until you dont care anymore MovingOn breakup regrets,,,,1,
Learn how to Twitter better,,,,1,
One of my is to make more time for the people who mean the most in my life,,,,1,
YouTube twice a week find nonprofit career position finish dissertation proposal,,,,1,
So going under for the mile this year,,,,1,
My newyearsresolution is to take a break from producing edm and get back to my musical roots FredericChopin Etudes,,,,1,
Dont get shotstay out of jail dont have any oops babies SimpleEnough,,,,1,
Join a gym Write more Act more Land an agent Be the bigger person Maybe settle down Find a hobby Make friends,,,,1,
My is to make more money Thanks to ltapp that is possible,,,,1,
To stop being so built bangbang,,,,1,
Less s,,,,1,
have affirmations per every criticism I have to give,,,,1,
I resolve to quit giving fake highfives because well thats also cruel,,,,1,
Recruit more people to AnookDotCom,,,,1,
get to school on time,,,,1,
design and a produce a really absurd but awesome kigurumi onesie,,,,1,
Be grateful forgiving humbled Empire successful meet adamlambert samsmithworld http,,,,1,
to be pretty,,,,1,
Wife up a Cook twin,,,,1,
rebuild at least burned bridges,,,,1,
learn to take criticism,,,,1,
I resolve to take more naps throughout the day Power naps twentyminute naps naps standing naps sleeping anything,,,,1,
I dont want to keep making the same mistakes But if I do make a mistake I want it to be a NEW mistake NewYearsWish,,,,1,
MLBPAClubhouse To be more patient and to help others more NewYear,,,,1,
leave the fake people behind,,,,1,
OK I have another to not read the comments anymore,,,,1,
Pass all my classes,,,,1,
Photo Bye I have nothing but blessings awaiting me in NewYearsEve Goals,,,,1,
Resolve to evolve ResolutionsFor,,,,1,
In Ill expect less from others and more from myself Ill be my own advocate and let nothing hinder my goals,,,,1,
sydney to not break any boners,,,,1,
My is the same as it is every year Be more awesome I always keep it,,,,1,
Do not carry or abandon your cross Hug the cross with faith and Love Catholic,,,,1,
My is to be a nice person but also maintain my current level of sass and bitchiness Thats a thing right,,,,1,
Attend as many cons as possible this is a resolution Im DETERMINED to keep NewYearsEve,,,,1,
Tminus hours Better grab a couple liters sodafree,,,,1,
Never believed in I do the same every year try harder at being a better women of God and increasing my hustle,,,,1,
to finally stop putting everyone before myself,,,,1,
MLBPAClubhouse HappyNewYear go to more baseball games and visit Fenway for the first time,,,,1,
to curse more,,,,1,
quit or at least minimize sharing my shtty opinions on twitter,,,,1,
I want to be the year that changes everything in my life I want to stop being afraid and start living MY LIFE,,,,1,
Complain less appreciate more,,,,1,
MLBPAClubhouse HappyNewYear My Resolution is to go to more Baseball games in,,,,1,
talk more about the things that makes you happy than things that make you sad BeHappy,,,,1,
Another of mine is to really put the crotch in crotchety,,,,1,
Resolution Sock Sock Shoe Shoe instead of Sock Shoe Sock Shoe,,,,1,
NO MORE MR NICE GUY Ive worked contributed volunteered too much of my life to people and organizations No More,,,,1,
And Im locking up everyone who ever laid a finger on me,,,,1,
Really gonna ramp up the misogyny this year,,,,1,
have some things go my way,,,,1,
Anyone want to suggest a survival skill I should learn this year Or teach me,,,,1,
To use social media more,,,,1,
AC Going to climb Mount Rainier,,,,1,
attend more races in,,,,1,
Get on postbadbeards lol,,,,1,
Hate cats more,,,,1,
My newyearsresolution is to wake up looking like Blake Lively wcw,,,,1,
Also Im going to masturbate more,,,,1,
My is to clean my house,,,,1,
Start listening to more Nelly,,,,1,
My is to stop making The calendar is cyclical What makes so special,,,,1,
My is to stop making The calendar is cyclical What makes so special,,,,1,
My is the same as every year Try to not kill all the people that need killin It gets harder every year,,,,1,
Ill make it this year will be my year to conquer my dreams HappyNewYear,,,,1,
I wanna shine some pennies I wanna mend some leather I wanna KrazyGlue my head to the bottom of a big steel girder,,,,1,
MLBPAClubhouse My is to begin reading more often at night A chapter a night a sports book most likely Need it,,,,1,
Own a robot eat more cheeseburgers eat more pizza and meet my idols,,,,1,
goal for win the lottery invest it go back to school never have to work again if I dont want to,,,,1,
Last selfie of the year NYE NewYear NewYearsEve to stay awesome,,,,1,
Actually I resolve to quit laughing in peoples faces Period I always get the meanest looks,,,,1,
as always my is to be more like Tom Brady,,,,1,
I wanna know God as well as I know my significant other what makes him happy know what makes him upset believe,,,,1,
Im gonna have grimalkinrn visit grimalkinrn Im going to go to New York and see UnusedPotential NewYearsReso,,,,1,
Standing out is the new fitting in so step out of the shadows and embrace the light letsdothis,,,,1,
Im gonna have grimalkinrn visit grimalkinrn Im going to go to New York and see UnusedPotential,,,,1,
To have an awesome wedding and first year of marriage cavs crseat,,,,1,
Im going to go to New York and see UnusedPotential,,,,1,
I resolve to quit resolving to do things and just let things slap me in the face without prior planning,,,,1,
And I am going to keep speaking when it is needed Amplifying when it is not Im going to love myself more,,,,1,
You know what Im seriously going to release a country song in Change things up a bit musiclife,,,,1,
I really hope I am going to start grad school,,,,1,
My is to release artistic me Ive confined her long enough Time to set her free,,,,1,
I am going to talk to more White people about our racism,,,,1,
I have categories for Resolutions to God Husband Children Myself Bring on the HappyNewYear,,,,1,
sleep until,,,,1,
Acquire taste for fine whiskey,,,,1,
If everyones was to simply be kind to others the world would be a better place in,,,,1,
I am not resolving to lose weight eat better or exercise more,,,,1,
My is to stop forgiving folks who speak to me in a way I would never speak to them,,,,1,
My is to learn every dance routine of theinlivingcolor flygirls HappyNewYear,,,,1,
Drink more water Wear more sunscreen Give my foot time to heal Set limits until my foot is healed,,,,1,
My is to be rich Filthy rich ismyyear HappyNewYear,,,,1,
I resolve to quit fixing my hair in the reflections of bald peoples skulls It just seems cruel,,,,1,
Avoid death by scorpion bite,,,,1,
File taxes on time,,,,1,
So going under for the mile this year,,,,1,
Fully plan on going to different warped tour dates this year,,,,1,
My is to be more patient and not blow up so easily,,,,1,
Take care of my family and get us to a point where we can live comfortable,,,,1,
My is for my Facebook friends to lead more interesting lives,,,,1,
Love yourself the only one worth making insperation,,,,1,
Make seeking God and growing in your prevenient grace your resolution Claim in the name if God God,,,,1,
MrFunAfterDark If someone hates you for no reason give that fucker a reason,,,,1,
I would like to cut back on playing videogames and focus on spending more time with my family and friends,,,,1,
My is to write more song lyrics and watch less twilight,,,,1,
To dress my dogs up like idiots because hairy children need to have their parents humiliate them in public too,,,,1,
Day TheEllenShow Well I did it daily tweeting for ShowTickets andor Days tickets for my continues it,,,,1,
After his th cookie Cayden said I wanna have a fat belly like Santa,,,,1,
Im gunna have a good time next year More YouTube videos,,,,1,
go for a run every day in,,,,1,
My is to stop spending so much time chatting online eeer wait I think that was my NYs Resolution,,,,1,
My To use more George Lopez quotes in my daily conversations,,,,1,
My is to stop spending so much time chatting online eeer wait I think that was my NYs Resolution years ago,,,,1,
My is to go by the philosophy Why Not Me,,,,1,
One resolution I have made and try always to keep is this To rise above the little things John Burroughs,,,,1,
Taking time to take care for self is rewarding Dying my hair with henna No chemical dyes in organic hair,,,,1,
I resolve to buy more Adventure Time clothing and wear it at inappropriate times like funerals,,,,1,
I will save energy and look for renewable sources of energy,,,,1,
Grow the fuck up get shit together and be awesome I think thats doable,,,,1,
To make split ends a style newyearsresolution,,,,1,
Stop wanting more for people than they want for themselves in,,,,1,
Id like to poison your mind with wrong ideas that appeal to you though I am not unkind,,,,1,
to have this same gear for LetsGoRoyals KansasCityRoyals,,,,1,
stop being so cool,,,,1,
Be grateful forgiving humbled Empire successful meet adamlambert samsmithworld,,,,1,
This year I dont have a is going to be all about me making myself a better happier and healthier person,,,,1,
get A job nigga,,,,1,
Trying to be a worse person in,,,,1,
My other is to not lose any Chapstick,,,,1,
New Years resolution Step foot in yoga Studio carry over New Years resolutions motivation,,,,1,
My newyearsresolution is to take a break from producing edm and get back to my musical roots,,,,1,
My is to get on that workout grind,,,,1,
More submissive and less fertile,,,,1,
When things dont go the way we want them to Or something shitty happens Its not the end of the world,,,,1,
Lets do it guys Happy new year NewYearsEve NewYear ColorfulCountdown Goals,,,,1,
resolution spend more time showing friends and family how important they are CountdownTo,,,,1,
Im gonna Spank Lick Massage my Followers bare Butts whenever theyre bad so Santa wont skip their Caves next year,,,,1,
Never go to gymgain weight Make less money Be meaner to people Try nothing new AngeloLPerez rochae tperez,,,,1,
was the best year of my life cause I met ddlovato so in my only goal is to meet ddlovato again,,,,1,
Again while sober I actually have a Not to dwell no matter what keep pushing forward dont look back carpe diem,,,,1,
Try harder to get one of my ideals to follow me onedirection AshtonSOS LukeSOS NiallOfficial HarryStyles SOS,,,,1,
Be more involved within the comics medium Community events discipline determination perhaps a published work,,,,1,
My only for is to not dip my pizza in ranch anymore,,,,1,
Go fishing once so while talking to my coworkers around the water cooler I can say Id rather be fishingNYE,,,,1,
Only make love to BoyzIIMen in,,,,1,
MLBPAClubhouse to die tad get off the coach and play outside with my son more,,,,1,
theycallmejanay You are right I have neglected my pop princess I will DEFINITELY give you more attention in,,,,1,
collaborate with YouTubers get in shape get the ball rolling on Apt Channel,,,,1,
Submissive Buy more crotchless panties,,,,1,
The term turn up should officially stop being used starting tomorrow,,,,1,
tweet nicer tweet smarter tweet less often except on gameday,,,,1,
Get rid of all the negative energy in my life,,,,1,
My I Resolve to be or do more not less NYE hypeORL wannabebeckham orlandosentinel h,,,,1,
resolution focus on being healthy avoid unnatural ingredients cleaneating newyearsresolution CountdownTo,,,,1,
I still havent seen Magic Mike Theres my first channingtatum magicmike,,,,1,
Lose my holiday weight,,,,1,
Instead of being the tale work hard to be the head Christianity cp,,,,1,
My is to not post my Facebook YearInReview video Youre welcome,,,,1,
My is to not have a resolution Oh dang it,,,,1,
stop cursing and be nicer and not respect people more,,,,1,
Goles for learn how to spell goles correctly newyearseve,,,,1,
Instead of losing weight lose the bad attitude Christianity cp,,,,1,
My is to either favorite a tweet or reTweet it but not both I mean if you RT it it implies that you LIKE it,,,,1,
My last purchase of no more shopping till birthday wknd newyearsresolution noshopping save,,,,1,
I choose the miraculous over the mundane Jesus,,,,1,
My is to make friends that have good New Years resolutions NewYearsEve,,,,1,
NEW YEARS RESOLUTION To catch up on my resolutions for O O and O,,,,1,
My is to stop putting all my private business on Twitter Wait ah shit,,,,1,
Dont lose weight this year move somewhere fatter,,,,1,
Havent worked out many this year just STOP WATCHING SO MUCH GOD DMN LAW ORDER SVU Took up most of THIS year,,,,1,
Launching DaysWithoutRayBan ways to spend on something other than rayban Response to,,,,1,
finally help greg with a meal plan lol,,,,1,
figure out how to tear saranwrap without getting it all stuck on itself,,,,1,
dont catch feelings under any circumstance nope,,,,1,
My real is to become MoreActionMike and be greater than my potential,,,,1,
My is to have no more because they wont get true anyway,,,,1,
to get back in the air starts Sat with a transition to the SR G and IPC at JATOAviation,,,,1,
Drop my feelings its all business kanye shrug oh well NewYear,,,,1,
Win state,,,,1,
strike these words from my vocabulary My takeaway bae is cracra polarvortexnation,,,,1,
Go to sleep before midnight Starting on,,,,1,
rachelkoshy I need to be more productive well see how long that one lasts Just one day at a time,,,,1,
my newyearsresolution more hiphop vinyl recordsbeats lootpack madlib wildchild,,,,1,
TalyahAlesia My is to get my education and get money You got this,,,,1,
FoxNews New Years resolution is to leave the past in the past and focus on the future DadMadeMeDoThis,,,,1,
My for is to share the love ShareTheLove,,,,1,
NYE Resolution Position is not action and action is not position Keep your constituency in mind,,,,1,
I almost got to lbs before New goal be before,,,,1,
Moving to Canada because we so strongly dislike Obama CoryVogelsberg DerekHigdon,,,,1,
MLBPAClubhouse My is to stop procrastinating Also Get more MLBP gear You can never have too much swag HappyNewYear,,,,1,
My is to open a line of corduroy eveningwear for middle age women,,,,1,
fuck yo bitch again,,,,1,
My is to shell my own peanuts I really need the cardio,,,,1,
StubHub I really wantNEED to see maroon in TixWish,,,,1,
Get a life,,,,1,
Keep my head on straight and not let anyone tear me down,,,,1,
no more pork,,,,1,
My is to avoid the gym for the first weeks of the year until the crowds die down,,,,1,
Lose some damn weight lol,,,,1,
To truly get closer with God,,,,1,
My To do my best to always see the world like this chick BrightSide,,,,1,
RT KatrinAlbert Dont mistake obscurity for art,,,,1,
MLBPAClubhouse My is to watch more baseball HappyNewYear,,,,1,
Im buying oven mitts without holes,,,,1,
StubHub I want to go to a lot of Detroit Tigers games in TixWish,,,,1,
The new year means nothing if your still in love with your comfort zone LetsMakeItAGoodOne,,,,1,
RealSimple Our Drink more red wine good idea,,,,1,
My is to keep up with the trimming of my toe nails,,,,1,
AuntieAnnes New years resolution is to be a healthier me,,,,1,
BobsBurgersFOX Eat more tacos on the toilet bobsburgers ehhhhmily,,,,1,
NYE My resolution for next year is To Be The Best Version Of Myself thankful,,,,1,
Think up a catch phrase Make it popular Over use it until its hated Bring it back in as retro NYE,,,,1,
Heres my New Years resolution to be fabulous And this HappyNewYear StephTurns,,,,1,
get as many girls as AaronHerman gets,,,,1,
If you cant think of a New Years resolution how about flossing every day healthyteeth,,,,1,
MLBPAClubhouse My is to watch more baseball If thats possible,,,,1,
Complete the Reading Challenge,,,,1,
Haaileeyy no sheeshing smoking weed or drinking Thats what we all say,,,,1,
Break the mental block that makes me hate writing the number,,,,1,
Un friending the white folk,,,,1,
My is to stop procrastinating Eh screw it maybe Ill do it next year instead lol,,,,1,
My only is pulled from owenpallett I Am Not Afraid To,,,,1,
While everyone is watching the ball drop tonight I will be in the gym lifting heavy ass weights,,,,1,
quit taking myself so seriously save more money get organized These r listed frm most to least likely to succeed,,,,1,
to be kinder to myself,,,,1,
the worlds ending this year fr this time I promise September,,,,1,
For Im revamping my wardrobe No one needs three closets worth of fast fashion breakingupwithHM,,,,1,
newyearseve workout nodaysoff we stay working hard So theres no newyearsresolution for me,,,,1,
I just realized that my diet is supposed to start tomorrow Fuck,,,,1,
My New Years Resolution is to keep paying attention to rape culture bc knowledge is power FeministN,,,,1,
My in is to not give up anything for Lent,,,,1,
stop doing heroin on the weekend SlipperySlope,,,,1,
MLBPAClubhouse My is going to be to go to more baseball games next year,,,,1,
hit followers,,,,1,
CVSExtra Being a better communicator and taking care of my blood pressure,,,,1,
Not having people starting their rps with hi,,,,1,
Cannot wait to start my new job on Monday crossitoffmylist feedmemore,,,,1,
I have one theres no such thing as too much Queen Happy New Year,,,,1,
Speak more Spanish,,,,1,
To not get high,,,,1,
Stay true to myself fuck what everybody else talking bout,,,,1,
Heres to avoiding working out at the gym for the next weeks Cold garage it is fitfam gymstruggles gymlife,,,,1,
HappyNewYear now to get started on my shoot more film filmisnotdead,,,,1,
BossRockets Gettin closer to God be a better person find a good lookin woman,,,,1,
Sitting here creating my goals for the year I decided to break them down month by month Both personal and business,,,,1,
New Year new habits I moved from the couch to the recliner Whew I hope I can keep it up NewYear,,,,1,
My is to start the Pcrossfitx workout program,,,,1,
I resolve to eat butter I mean better whatever,,,,1,
To love others as much as the music minister loves himself,,,,1,
You can give the ultimate gift of life when you die my sister is alive today with a new heart gift DonateLifeToday,,,,1,
To get out of bed before noon I have failed,,,,1,
contact McConnell Boehner TELL THEM ImpeachObama PRIORITY WE VOTED REPUBLICANS TO DO THIS,,,,1,
Got trapped at a party last night by a glutenfree mom of years My is to not talk about my diet in,,,,1,
My is to register new voters get followers on Twitter and raise for Republican candidates this Nov,,,,1,
Get more sleep toys play pleasetouch,,,,1,
Overheard Dont blame the holidays you were fat in August,,,,1,
Get Bigger And Better MySelf Mentally,,,,1,
Be the kindof Christian that doesnt have to tell what they believe Actions speak louder than words,,,,1,
My New Years Resolution Win The Lottery NewYearNewMe HappyNewYear,,,,1,
Happy New Year all My resolution Focus on my eventual move to Seattle GoalsFor,,,,1,
One of my is to learn Italian Already started Io sono una donna,,,,1,
Create More Consume Less my recommended not just for myself but for anyone who wants to do more,,,,1,
A take more beautiful baths me time charcoalalley,,,,1,
This year I will try to be a badder bitch,,,,1,
I also started listening to the DailyAudioBible today,,,,1,
My No Less hangovers,,,,1,
If you aint cutting off ALL hoes except for your main bitch you doing it WRONG TheYoungOGProject,,,,1,
NO POP,,,,1,
Be intensely excited to be myself Write a novel Start a vegetable garden Finish undergrad and start grad,,,,1,
is the year I stop complaining except when its the worst day ever or I totally cant even,,,,1,
I will become a better swimmer,,,,1,
My New Years resolution is to be a mistake free in HappyNewYear,,,,1,
To not make fun of the youth pastor anymore Or any less,,,,1,
My is x,,,,1,
Get this butt rash under control,,,,1,
Kdodo dominos Show those lemmings youre not a clich This year resolve to eat more pizza,,,,1,
My new is to use more emojis when texting haha,,,,1,
Find out what get it wet means and then depending on the definition get it wet,,,,1,
Build Relationships youd hang out on a limb for goodhealth,,,,1,
One of many new years resolutions No alcohol for one year I like challenging myself,,,,1,
New year for me New music new eating habits new body Just wait Jaysperations inspiration newyear healthy newyearsresolution,,,,1,
Half way through my stack of pancakes I remembered my New Years resolution fail fatkid newyearsresolution,,,,1,
RayneHall mayfairromance or starting the book Ive been wanting to write for years How do I begin motivational,,,,1,
Catch up with the last three weeks of December tweets from ThunderBahl done,,,,1,
Once again my is to not stab anyone Ive been successful at this for years in a row,,,,1,
uh oh steps gotta get moving exercisestatus NewYearNewMe workout exercise motivation,,,,1,
Quitting weed for good I will never smoke again,,,,1,
keep at least one promise I make to myself Off to a bad start as I promised me I wouldnt make a resolution in,,,,1,
My To pray more to lift people up who need the Lord,,,,1,
merylnyc Leslieks TheWallStBull Hey girls next year we all meet at Bulls place for group hug,,,,1,
